src,tar,src_type,tar_type
_382_/A,_382_,pin,cell
_382_,_382_/Y,cell,pin
_385_/A,_385_,pin,cell
_385_,_385_/Y,cell,pin
_386_/A,_386_,pin,cell
_386_,_386_/Y,cell,pin
_387_/A,_387_,pin,cell
_387_,_387_/Y,cell,pin
_388_/A,_388_,pin,cell
_388_,_388_/Y,cell,pin
_389_/A,_389_,pin,cell
_389_,_389_/Y,cell,pin
_390_/A,_390_,pin,cell
_390_,_390_/Y,cell,pin
_391_/A,_391_,pin,cell
_391_,_391_/Y,cell,pin
_392_/A,_392_,pin,cell
_392_,_392_/Y,cell,pin
_393_/A,_393_,pin,cell
_393_,_393_/Y,cell,pin
_394_/A,_394_,pin,cell
_394_,_394_/Y,cell,pin
_395_/A,_395_,pin,cell
_395_,_395_/Y,cell,pin
_396_/A,_396_,pin,cell
_396_,_396_/Y,cell,pin
_397_/A,_397_,pin,cell
_397_,_397_/Y,cell,pin
_398_/A,_398_,pin,cell
_398_,_398_/Y,cell,pin
_399_/A,_399_,pin,cell
_399_,_399_/Y,cell,pin
_400_/A,_400_,pin,cell
_400_,_400_/Y,cell,pin
_402_/A,_402_,pin,cell
_402_/B,_402_,pin,cell
_402_,_402_/Y,cell,pin
_403_/A,_403_,pin,cell
_403_/B,_403_,pin,cell
_403_/C,_403_,pin,cell
_403_/D,_403_,pin,cell
_403_,_403_/Y,cell,pin
_405_/A,_405_,pin,cell
_405_/B,_405_,pin,cell
_405_/C,_405_,pin,cell
_405_/D,_405_,pin,cell
_405_,_405_/Y,cell,pin
_406_/A,_406_,pin,cell
_406_/B,_406_,pin,cell
_406_/C,_406_,pin,cell
_406_/D,_406_,pin,cell
_406_,_406_/Y,cell,pin
_411_/A,_411_,pin,cell
_411_/B,_411_,pin,cell
_411_/C,_411_,pin,cell
_411_,_411_/Y,cell,pin
_412_/A,_412_,pin,cell
_412_/B,_412_,pin,cell
_412_/C,_412_,pin,cell
_412_/D,_412_,pin,cell
_412_,_412_/Y,cell,pin
_413_/A,_413_,pin,cell
_413_/B,_413_,pin,cell
_413_,_413_/Y,cell,pin
_415_/A,_415_,pin,cell
_415_,_415_/Y,cell,pin
_416_/A1,_416_,pin,cell
_416_/A2,_416_,pin,cell
_416_/B,_416_,pin,cell
_416_,_416_/Y,cell,pin
_417_/A,_417_,pin,cell
_417_/B,_417_,pin,cell
_417_,_417_/Y,cell,pin
_418_/A1,_418_,pin,cell
_418_/A2,_418_,pin,cell
_418_/B,_418_,pin,cell
_418_,_418_/Y,cell,pin
_419_/A1,_419_,pin,cell
_419_/A2,_419_,pin,cell
_419_/B,_419_,pin,cell
_419_,_419_/Y,cell,pin
_420_/A,_420_,pin,cell
_420_/B,_420_,pin,cell
_420_/C,_420_,pin,cell
_420_,_420_/Y,cell,pin
_421_/A1,_421_,pin,cell
