cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
FILLER_0_0_106,0,0,0,6804,1080,6858,1350,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_112,0,0,0,7128,1080,7236,1350,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_124,0,0,0,7776,1080,8316,1350,0,0,DECAPx4_ASAP7_75t_R,0.0,0.0
FILLER_0_0_134,0,0,0,8316,1080,8424,1350,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_151,0,0,0,9234,1080,9558,1350,0,0,DECAPx2_ASAP7_75t_R,0.0,0.0
FILLER_0_0_157,0,0,0,9558,1080,9666,1350,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_159,0,0,0,9666,1080,9720,1350,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_165,0,0,0,9990,1080,10530,1350,0,0,DECAPx4_ASAP7_75t_R,0.0,0.0
FILLER_0_0_175,0,0,0,10530,1080,10584,1350,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_181,0,0,0,10854,1080,12042,1350,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2,0,0,0,1188,1080,2376,1350,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_203,0,0,0,12042,1080,12096,1350,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_209,0,0,0,12366,1080,13554,1350,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_231,0,0,0,13554,1080,14742,1350,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_24,0,0,0,2376,1080,3564,1350,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_253,0,0,0,14742,1080,14958,1350,0,0,DECAPx1_ASAP7_75t_R,0.0,0.0
FILLER_0_0_257,0,0,0,14958,1080,15012,1350,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_46,0,0,0,3564,1080,4320,1350,0,0,DECAPx6_ASAP7_75t_R,0.0,0.0
FILLER_0_0_60,0,0,0,4320,1080,4536,1350,0,0,DECAPx1_ASAP7_75t_R,0.0,0.0
FILLER_0_0_69,0,0,0,4806,1080,5562,1350,0,0,DECAPx6_ASAP7_75t_R,0.0,0.0
FILLER_0_0_83,0,0,0,5562,1080,5778,1350,0,0,DECAPx1_ASAP7_75t_R,0.0,0.0
FILLER_0_0_92,0,0,0,6048,1080,6804,1350,0,0,DECAPx6_ASAP7_75t_R,0.0,0.0
FILLER_0_10_107,0,0,0,6858,3780,6966,4050,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_10_130,0,0,0,8100,3780,8424,4050,0,0,DECAPx2_ASAP7_75t_R,0.0,0.0
FILLER_0_10_144,0,0,0,8856,3780,9612,4050,0,0,DECAPx6_ASAP7_75t_R,0.0,0.0
FILLER_0_10_2,0,0,0,1188,3780,2376,4050,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_10_200,0,0,0,11880,3780,11988,4050,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_10_202,0,0,0,11988,3780,12042,4050,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_10_213,0,0,0,12582,3780,12798,4050,0,0,DECAPx1_ASAP7_75t_R,0.0,0.0
