src,tar,src_type,tar_type
clk,clkbuf_0_clk/A,net,pin
req_msg[0],input1/A,net,pin
req_msg[10],input2/A,net,pin
req_msg[11],input3/A,net,pin
req_msg[12],input4/A,net,pin
req_msg[13],input5/A,net,pin
req_msg[14],input6/A,net,pin
req_msg[15],input7/A,net,pin
req_msg[16],input8/A,net,pin
req_msg[17],input9/A,net,pin
req_msg[18],input10/A,net,pin
req_msg[19],input11/A,net,pin
req_msg[1],input12/A,net,pin
req_msg[20],input13/A,net,pin
req_msg[21],input14/A,net,pin
req_msg[22],input15/A,net,pin
req_msg[23],input16/A,net,pin
req_msg[24],input17/A,net,pin
req_msg[25],input18/A,net,pin
req_msg[26],input19/A,net,pin
req_msg[27],input20/A,net,pin
req_msg[28],input21/A,net,pin
req_msg[29],input22/A,net,pin
req_msg[2],input23/A,net,pin
req_msg[30],input24/A,net,pin
req_msg[31],input25/A,net,pin
req_msg[3],input26/A,net,pin
req_msg[4],input27/A,net,pin
req_msg[5],input28/A,net,pin
req_msg[6],input29/A,net,pin
req_msg[7],input30/A,net,pin
req_msg[8],input31/A,net,pin
req_msg[9],input32/A,net,pin
output36/Y,req_rdy,pin,net
req_val,input33/A,net,pin
reset,input34/A,net,pin
output37/Y,resp_msg[0],pin,net
output38/Y,resp_msg[10],pin,net
output39/Y,resp_msg[11],pin,net
output40/Y,resp_msg[12],pin,net
output41/Y,resp_msg[13],pin,net
output42/Y,resp_msg[14],pin,net
output43/Y,resp_msg[15],pin,net
output44/Y,resp_msg[1],pin,net
output45/Y,resp_msg[2],pin,net
output46/Y,resp_msg[3],pin,net
output47/Y,resp_msg[4],pin,net
output48/Y,resp_msg[5],pin,net
output49/Y,resp_msg[6],pin,net
output50/Y,resp_msg[7],pin,net
output51/Y,resp_msg[8],pin,net
output52/Y,resp_msg[9],pin,net
resp_rdy,input35/A,net,pin
output53/Y,resp_val,pin,net
_000_,ctrl.state.out\[0\]$_DFF_P_/D,net,pin
_449_/Y,_000_,pin,net
_001_,ctrl.state.out\[1\]$_DFF_P_/D,net,pin
_456_/Y,_001_,pin,net
_002_,ctrl.state.out\[2\]$_DFF_P_/D,net,pin
_445_/Y,_002_,pin,net
_713_/CON,_003_,pin,net
_003_,_423_/B,net,pin
_715_/CON,_004_,pin,net
_004_,_422_/B,net,pin
_005_,rebuffer100/A,net,pin
_005_,rebuffer97/A,net,pin
_714_/SN,_005_,pin,net
_005_,_574_/A1,net,pin
_717_/CON,_006_,pin,net
_006_,_421_/B,net,pin
_007_,rebuffer93/A,net,pin
_716_/SN,_007_,pin,net
_008_,rebuffer37/A,net,pin
_718_/SN,_008_,pin,net
_721_/CON,_009_,pin,net
_009_,_428_/B,net,pin
_010_,rebuffer26/A,net,pin
_010_,rebuffer24/A,net,pin
_010_,rebuffer23/A,net,pin
_720_/SN,_010_,pin,net
_011_,rebuffer13/A,net,pin
_011_,rebuffer10/A,net,pin
_722_/SN,_011_,pin,net
_725_/CON,_012_,pin,net
_012_,_427_/B,net,pin
_727_/CON,_013_,pin,net
_013_,_427_/A1,net,pin
_014_,rebuffer33/A,net,pin
_726_/SN,_014_,pin,net
_014_,_634_/A,net,pin
_014_,_515_/A1,net,pin
_729_/CON,_015_,pin,net
_015_,_432_/B,net,pin
_016_,rebuffer5/A,net,pin
_016_,rebuffer1/A,net,pin
_016_,_634_/B,net,pin
_728_/SN,_016_,pin,net
_017_,rebuffer61/A,net,pin
_017_,rebuffer60/A,net,pin
_017_,rebuffer59/A,net,pin
_730_/SN,_017_,pin,net
_733_/CON,_018_,pin,net
_018_,_431_/B,net,pin
_735_/CON,_019_,pin,net
_019_,_431_/A1,net,pin
_020_,rebuffer53/A,net,pin
_020_,rebuffer65/A,net,pin
_020_,rebuffer29/A,net,pin
_734_/SN,_020_,pin,net
_737_/CON,_021_,pin,net
_021_,_418_/B,net,pin
