src,tar,src_type,tar_type,is_net,arc_delay
_382_/A,_382_/Y,pin,pin,0,2.2970684382395135e-11
_385_/A,_385_/Y,pin,pin,0,1.2352888677236162e-11
_386_/A,_386_/Y,pin,pin,0,1.156732175322528e-11
_387_/A,_387_/Y,pin,pin,0,1.1392782550689873e-11
_388_/A,_388_/Y,pin,pin,0,1.1467884801497075e-11
_389_/A,_389_/Y,pin,pin,0,1.3153258864029294e-11
_390_/A,_390_/Y,pin,pin,0,7.69360183200396e-12
_391_/A,_391_/Y,pin,pin,0,1.3263611563230082e-11
_392_/A,_392_/Y,pin,pin,0,1.3262770222344233e-11
_393_/A,_393_/Y,pin,pin,0,6.400623954461171e-12
_394_/A,_394_/Y,pin,pin,0,1.3285840309851249e-11
_395_/A,_395_/Y,pin,pin,0,1.3024420084106758e-11
_396_/A,_396_/Y,pin,pin,0,1.2203763173623816e-11
_397_/A,_397_/Y,pin,pin,0,1.1177138208029458e-11
_398_/A,_398_/Y,pin,pin,0,1.3128245886229184e-11
_399_/A,_399_/Y,pin,pin,0,1.0713209833146387e-11
_400_/A,_400_/Y,pin,pin,0,1.2941037130786981e-11
_402_/A,_402_/Y,pin,pin,0,1.2985934376430475e-11
_402_/B,_402_/Y,pin,pin,0,2.047549456374309e-11
_403_/A,_403_/Y,pin,pin,0,3.827988967475271e-11
_403_/B,_403_/Y,pin,pin,0,4.011648999102668e-11
_403_/C,_403_/Y,pin,pin,0,4.18553143533007e-11
_403_/D,_403_/Y,pin,pin,0,5.0737476720019714e-11
_405_/A,_405_/Y,pin,pin,0,3.980465609898509e-11
_405_/B,_405_/Y,pin,pin,0,4.2168754599281044e-11
_405_/C,_405_/Y,pin,pin,0,4.387094507118938e-11
_405_/D,_405_/Y,pin,pin,0,4.383968535415228e-11
_406_/A,_406_/Y,pin,pin,0,3.9589848760401836e-11
_406_/B,_406_/Y,pin,pin,0,4.2037536646111207e-11
_406_/C,_406_/Y,pin,pin,0,4.576607148809586e-11
_406_/D,_406_/Y,pin,pin,0,4.639411771423241e-11
_411_/A,_411_/Y,pin,pin,0,2.6592760979382568e-11
_411_/B,_411_/Y,pin,pin,0,2.8544175703637542e-11
_411_/C,_411_/Y,pin,pin,0,2.9083806543650503e-11
_412_/A,_412_/Y,pin,pin,0,3.77803968665269e-11
_412_/B,_412_/Y,pin,pin,0,5.054634835688354e-11
