pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
_382_/A,5183,13396,0,-1,0,0,0,-1,320.0,0,_382_,_025_,8.680316881948258e-11,132.867752,1.2514168867827635e-10,1.2500636636936235e-10,1.3225600390515905e-14
_382_/Y,5184,13381,0,-1,0,0,1,-1,320.0,0,_382_,net36,4.141592277462358e-11,132.867752,1.4797704728231054e-10,1.4405139581175064e-10,None
_385_/A,4464,5805,0,-1,0,0,0,-1,320.0,0,_385_,_335_,3.42677379527867e-11,144.447418,9.683244484026687e-11,9.806662426559143e-11,6.837159952986067e-16
_385_/Y,4552,5805,0,-1,0,0,1,-1,320.0,0,_385_,dpath.a_lt_b$in1\[1\],1.4655408830943628e-11,144.447433,1.1041951381018933e-10,1.0727484178740809e-10,None
_386_/A,5598,4725,0,-1,0,0,0,-1,320.0,0,_386_,_378_,2.821748390502421e-11,25.195026,9.390356547900325e-11,9.50482331729674e-11,6.837159952986067e-16
_386_/Y,5686,4725,0,-1,0,0,1,-1,320.0,0,_386_,dpath.a_lt_b$in1\[0\],1.3721745961703391e-11,25.195021,1.0661555666091616e-10,1.0369084063599487e-10,None
_387_/A,2844,8235,0,-1,0,0,0,-1,320.0,0,_387_,_370_,2.716752864340144e-11,154.301544,9.287933616652921e-11,9.417527868649245e-11,6.837159952986067e-16
_387_/Y,2932,8235,0,-1,0,0,1,-1,320.0,0,_387_,dpath.a_lt_b$in1\[3\],1.3490172520724819e-11,154.301544,1.0556806123718232e-10,1.0246721526829816e-10,None
_388_/A,2790,7155,0,-1,0,0,0,-1,320.0,0,_388_,_373_,2.799656340091161e-11,151.258896,9.314211901756408e-11,9.449210164325095e-11,6.837159952986067e-16
_388_/Y,2878,7155,0,-1,0,0,1,-1,320.0,0,_388_,dpath.a_lt_b$in1\[2\],1.358111279686769e-11,151.258896,1.0595998384266281e-10,1.0282864837396488e-10,None
_389_/A,4356,11205,0,-1,0,0,0,-1,320.0,0,_389_,_364_,2.2619387265998547e-11,137.425095,8.983586097244256e-11,9.102243264669241e-11,6.837159952986067e-16
_389_/Y,4444,11205,0,-1,0,0,1,-1,320.0,0,_389_,dpath.a_lt_b$in1\[5\],1.642250398170564e-11,137.425095,1.0417568890863649e-10,1.0120244225975128e-10,None
_390_/A,3060,10125,0,-1,0,0,0,-1,320.0,0,_390_,net117,1.1051074118306747e-11,120.043144,1.0794722754559061e-10,1.1030637514508612e-10,6.837159952986067e-16
_390_/Y,3148,10125,0,-1,0,0,1,-1,320.0,0,_390_,dpath.a_lt_b$in1\[4\],9.406906677222882e-12,120.043144,1.1799997090555792e-10,1.1501022356696922e-10,None
_391_/A,7704,10935,0,-1,0,0,0,-1,320.0,0,_391_,_358_,2.32673342398515e-11,139.468384,9.023364694327185e-11,9.1408859648201e-11,6.837159952986067e-16
_391_/Y,7792,10935,0,-1,0,0,1,-1,320.0,0,_391_,dpath.a_lt_b$in1\[7\],1.6545653735988708e-11,139.468384,1.0467247207879282e-10,1.0169363962031497e-10,None
_392_/A,7002,10935,0,-1,0,0,0,-1,320.0,0,_392_,_361_,2.2961722800918238e-11,138.779770,9.011088403232392e-11,9.127309325007715e-11,6.837159952986067e-16
_392_/Y,7090,10935,0,-1,0,0,1,-1,320.0,0,_392_,dpath.a_lt_b$in1\[6\],1.650015020449036e-11,138.779755,1.045358660745066e-10,1.0157837765367717e-10,None
_393_/A,10890,10395,0,-1,0,0,0,-1,320.0,0,_393_,net168,6.193752108418771e-12,125.977242,1.0911260783785792e-10,1.1175806113872255e-10,6.837159952986067e-16
_393_/Y,10978,10395,0,-1,0,0,1,-1,320.0,0,_393_,dpath.a_lt_b$in1\[9\],8.513909195706493e-12,125.977242,1.181586911647159e-10,1.1493491575143011e-10,None
_394_/A,9540,11205,0,-1,0,0,0,-1,320.0,0,_394_,_355_,2.3643717192434188e-11,134.501328,9.019653773867375e-11,9.140291301612535e-11,6.837159952986067e-16
_394_/Y,9628,11205,0,-1,0,0,1,-1,320.0,0,_394_,dpath.a_lt_b$in1\[8\],1.643577114684991e-11,134.501328,1.0468875072389139e-10,1.0163955788122792e-10,None
_395_/A,8406,5265,0,-1,0,0,0,-1,320.0,0,_395_,_346_,2.1999834246000383e-11,141.715744,9.067648715221921e-11,9.182624799430883e-11,6.837159952986067e-16
_395_/Y,8494,5265,0,-1,0,0,1,-1,320.0,0,_395_,dpath.a_lt_b$in1\[11\],1.6318000770065844e-11,141.715744,1.0485066981313906e-10,1.0194311367284214e-10,None
_396_/A,6894,5805,0,-1,0,0,0,-1,320.0,0,_396_,_349_,2.73894483482362e-11,136.402695,9.338844281225889e-11,9.468979073057326e-11,6.837159952986067e-16
